num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
90660754000160,COPREL,COPREL COOPERATIVA DE ENERGIA,coprel cooperativa de energia,,,,
08324196000181,COSERN,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN,companhia energetica do rio grande do norte cosern,,,,
53859112000169,CPFL JAGUARI,COMPANHIA JAGUARI DE ENERGIA,companhia jaguari de energia,,,,
53859112000169,CPFL Jaguari,COMPANHIA JAGUARI DE ENERGIA,companhia jaguari de energia,,,,
61015582000174,CPFL Leste Paulista,COMPANHIA LESTE PAULISTA DE ENERGIA,companhia leste paulista de energia,,,,
52503802000118,CPFL Mococa,COMPANHIA LUZ E FORÇA DE MOCOCA,companhia luz e forca de mococa,,,,
61116265000144,CPFL Santa Cruz,COMPANHIA LUZ E FORÇA SANTA CRUZ,companhia luz e forca santa cruz,,,,
60855608000120,CPFL Sul Paulista,Companhia Sul Paulista de Energia,companhia sul paulista de energia,,,,
04172213000151,CPFL- PIRATININGA,COMPANHIA PIRATININGA DE FORÇA E LUZ,companhia piratininga de forca e luz,,,,
33050196000188,CPFL-PAULISTA,COMPANHIA PAULISTA DE FORCA E LUZ,companhia paulista de forca e luz,,,,
33050196000188,CPFL-PAULISTA,COMPANHIA PAULISTA DE FORÇA E LUZ,companhia paulista de forca e luz,,,,
04172213000151,CPFL-PIRATINING,COMPANHIA PIRATININGA DE FORCA E LUZ,companhia piratininga de forca e luz,,,,
91950261000128,CRELUZ-D,CRELUZ - COOPERATIVA DE DISTRIBUICAO DE ENERGIA,creluz - cooperativa de distribuicao de energia,,,,
91950261000128,CRELUZ-D,CRELUZ - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,creluz - cooperativa de distribuicao de energia,,,,
89435598000155,CRERAL,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,creral - cooperativa regional de eletrificacao rural do alto uruguai,,,,
09364804000144,Ceraçá,CERACA - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARACA,ceraca - cooperativa distribuidora de energia vale do araca,,,,
83855973000130,DCELT,DCELT - DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA LTDA,dcelt - distribuidora catarinense de energia eletrica ltda,,,,
83855973000130,DCELT,DCELT DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA S/A,dcelt distribuidora catarinense de energia eletrica s/a,,,,
95289500000100,DEMEI,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUI,departamento municipal de energia de ijui,,,,
95289500000100,DEMEI,Departamento Municipal de Energia de Ijuí,departamento municipal de energia de ijui,,,,
